Organization,Description,Year
The Wine Project,"Wine runs Windows applications on Linux, BSD, Solaris and Mac OS X.",2017
Tiled,"A free, easy to use and flexible 2D level editor.",2017
TimVideos,"Software & hardware to recording + streaming conferences, meetings & usergroups.",2017
Tor,Internet privacy and anonymity,2017
UCSC Xena,Helping biologists see the bigger picture in diverse cancer genomics data,2017
"Urban Energy Systems Laboratory, Empa",HUES is a platform for modeling & analysis of distributed energy systems,2017
VideoLAN,"A team of volunteers, believing in the power of open source multimedia.",2017
ViSP,Visual tracking and visual servoing library,2017
Wikimedia Foundation,Global movement whose mission is to bring free educational content to the world,2017
WorldBrain - Verifying the Internet with Science,"Full-text search your history, bookmarks and all your apps.",2017
WSO2,Comprehensive and open source middleware platform that spans the breadth of SOA,2017
wxWidgets,Library for creating portable native GUIs in C++,2017
X.Org Foundation,"X Window System and related projects (Mesa, DRI, Wayland, etc.)",2017
Xapian Search Engine Library,"Fast, scalable and flexible search",2017
XBMC Foundation,Kodi Media Center,2017
Xen Project,Bringing the power of virtualization everywhere,2017
XMPP Standards Foundation,Secure messaging with open standards,2017
XWiki,The Advanced Open Source Enterprise Wiki,2017
Zenodo,A free and open digital archive for the long-tail of science.,2017
Zulip,"Powerful, modern, open source group chat, complete with apps for every platform.",2017
3DTK,The 3D Toolkit provides algorithms and methods to process 3D point clouds,2018
52° North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics,2018
AerospaceResearch.net,making space together,2018
aimacode,"Code for the book ""Artificial Intelligence: A Modern Approach""",2018
Amahi,"Amahi, a home digital assistant at your fingertips.",2018
AOSSIE - Australian Open Source Software Innovation and Education,Australian Umbrella Org for Open-Source Projects,2018
Apache Software Foundation,Providing open source software to the public free of charge,2018
Apertium,A free/open-source platform for machine translation and language technology,2018
Apertus Association,Open Technology for Professional Film Production,2018
appleseedhq,A modern open source rendering engine for animation and visual effects,2018
ArduPilot,The worlds most advanced open source autopilot,2018
BeagleBoard.org Foundation,Open hardware and software for physical computing,2018
Beam Community,"From distributed systems, to robust servers and language design on the Erlang VM",2018
BeeWare Project,Tools for cross-platform Python application development.,2018
Berkman Klein Center for Internet & Society at Harvard University,"Exploring cyberspace, sharing in its study, and helping pioneer its development.",2018
Blender Foundation,We build a free and open source 3D creation suite.,2018
Boost C++ Libraries,Boost provides free peer-reviewed portable C++ source libraries,2018
Boston University / XIA,Crowdsourcing the future Internet,2018
BRL-CAD,"Solid modeling, 3D printing, comp. graphics, & other computer-aided tech (CAx)!",2018
Canadian Centre for Computational Genomics,Analytical solutions for Next-Generation Sequencing data,2018
Catrobat,Computational Thinking for all through visual programming on phones,2018
CCExtractor Development,"Experimenting with video software and hardware, subtitles, imaging, cloud...",2018
Center for Research In Open Source Software (CROSS) at UC Santa Cruz,Bridging the Gap Between Student Work and Open Source Software Projects,2018
CERN-HSF,Umbrella organization for Particle (High-energy) Physics-related projects,2018
CGAL Project,C++ library of computational geometry and geometry processing,2018
CHAOSS: Community Health Analytics Open Source Software,Advacing open source project health and sustainability,2018
Checker Framework,"Preventing programming errors before they happen, via easy-to-use verification",2018
CiviCRM LLC,"Build, engage and organize your constituents",2018
Classical Language Toolkit,NLP for the Ancient World,2018
"CLiPS, University of Antwerp",Computational (Psycho)Linguistics,2018
Cloud Native Computing Foundation (CNCF),Sustaining open source cloud native projects like Kubernetes and Prometheus,2018
CloudCV,Building platforms for reproducible AI research,2018
coala,Linting and Fixing Code for All Languages,2018
Computational Biology @ University of Nebraska-Lincoln,"Further knowledge in health through computation, data visualization and analysis",2018
Conversations.im,An open source instant messaging client and ecosystem based on Jabber & XMPP,2018
Cuneiform Digital Library Initiative,International digital library of artifacts inscribed with cuneiform writing,2018
DBpedia,"An Open Platform for a Large, Multilingual, Semantic Knowledge Graph",2018
Debian Project,the universal operating system,2018
Developers Italia,An open community digital public services developers,2018
Digital Impact Alliance,Supporting open source projects for a digital society that serves everyone.,2018
Django Software Foundation,The web framework for perfectionists with deadlines.,2018
Drupal,"Drupal is a Free, Open, Modular CMS written in PHP. Let's make something amazing",2018
Earth Science Information Partners (ESIP),Making Earth science data matter.,2018
Elastic,"We are the creators of Elasticsearch, Kibana, Beats, and Logstash.",2018
Eta,Eta is a dialect of Haskell on the Java Virtual Machine.,2018
Fedora Project,"Fedora Linux is built on the foundations of Freedom, Friends, Features, & First",2018
FFmpeg,"A complete, cross-platform solution to record, convert & stream audio and video.",2018
FOSSASIA,Improve People's Lives,2018
FOSSology,Open Source License Compliance by Open Source Software,2018
Free and Open Source Silicon Foundation,"The home for open source hardware, EDA tools and the related ecosystem",2018
Free UK Genealogy,Human transcription of family history data,2018
FreeBSD,FreeBSD: The Foundation of the Internet,2018
FreeType,A software library to render fonts.,2018
freifunk,Freifunk is a non-commercial initiative for free and open wireless networks.,2018
"Genes, Genomes and Variation",Genomic sequence and annotation databases and browsers,2018
GENIVI Alliance,Developing open software for IVI and the connected car.,2018
Gentoo Foundation,"A flexible, source-based Linux distribution.",2018
GFOSS - Open Technologies Alliance,Promote Openness with the use and development of Open Standards & Open Source.,2018
Git,"Fast, scalable, distributed revision control system",2018
Global Alliance for Genomics and Health,We develop open standards and tools for genomics to benefit human health.,2018
GNOME,A free desktop environment for GNU/Linux.,2018
GNSS-SDR,An open source Global Navigation Satellite Systems software-defined receiver,2018
GNU Compiler Collection (GCC),GCC,2018
GNU Octave,Free Your Numbers,2018
GNU Project,GNU is an operating system that is free software,2018
GNU Radio,The free & open software radio ecosystem,2018
Godot Engine,Godot is a multi-platform 2D and 3D game engine with a feature-rich editor,2018
gRPC,"A high performance, open-source universal RPC framework",2018
Haiku,Integrated operating system for personal computers,2018
Haskell.org,"Standardized, statically typed, lazy functional programming language",2018
Homebrew,"An open source, console package manager for macOS",2018
INCF,Advancing global collaborative brain research,2018
Inclusive Design Institute,The IDI addresses the challenge of designing ICT to work for all potential users,2018
Inkscape,"Inkscape is a professional vector graphics editor for Windows, Mac OSX, & Linux.",2018
Inria Foundation,SOFA is an efficient simulation engine for research in medical simulation.,2018
Institute for Artificial Intelligence,Research in Artificial Intelligence for Autonomous Mobile Robots,2018
